place_id,name_x,address,city,state,zip,lat,lng,open_now,goog_price_level,goog_rating,goog_rating_count,type_of_place,phone_formatted,phone,site,distance,trip_time,goog_sent_pos,goog_sent_neu,goog_sent_neg,goog_sent_comp,goog_rev_avgrating,yelp_id,name_y,yelp_price_level,yelp_rating,yelp_rating_count,yelp_sent_pos,yelp_sent_neu,yelp_sent_neg,yelp_sent_comp,yelp_rev_avgrating,pred,goog_peoplesay,yelp_peoplesay
ChIJkRaA0yO_woARia582F6qkEo,JINYA Ramen Express,6801 Hollywood Blvd #317,Los Angeles,CA,90028,34.1017816,-118.3400045,False,2.0,4.0,226,"['establishment', 'food', 'point_of_interest', 'restaurant']",(323) 391-1916,+13233911916,http://jinya-ramenbar.com/locations/?page=detail&area=JINYARamenExpress&num=0,9838,1493,0.2378,0.7168,0.0454,0.7901,3.4,xNB1cPWE511X4_o8czmmUg,JINYA Ramen Express,2,3.5,225,0.15833333333333333,0.7703333333333333,0.07133333333333333,0.09233333333333331,3.6666666666666665,0,Yay!,Meh.
ChIJSdpItSq_woARWdnhOGkp47U,Tatsu Ramen,7111 Melrose Ave,Los Angeles,CA,90046,34.083679,-118.3446594,False,2.0,4.5,1612,"['establishment', 'food', 'point_of_interest', 'restaurant']",(323) 747-1388,+13237471388,https://www.tatsuramen.com/,7745,1233,0.31575000000000003,0.6759999999999999,0.00825,0.9182,5.0,E4W2T89vm4hmBwk39EoUuw,Tatsu Ramen,2,4.0,3300,0.22399999999999998,0.75,0.025666666666666667,0.7392,4.333333333333333,0,Yay!,Yay!
ChIJOd9yJ4S4woARY3v0q_ccziA,Slurpin' Ramen Bar,3500 W 8th St,Los Angeles,CA,90005,34.0575061,-118.3068219,False,1.0,4.5,1222,"['establishment', 'food', 'point_of_interest', 'restaurant']",(213) 338-1706,+12133381706,http://www.slurpinramenbar.us/?utm_source=google&utm_medium=website&utm_campaign=Slurpin'%20Ramen%20Bar&utm_term=5b804c3ce40d100001c2f671,10722,1472,0.24979999999999997,0.712,0.038,0.77174,4.6,MlmcOkwaNnxl3Zuk6HsPCQ,Slurpin' Ramen Bar,2,4.5,3964,0.18466666666666665,0.8153333333333334,0.0,0.6165333333333333,5.0,1,Yay!,Meh.
ChIJ05hMK9m-woAR-sHVTX5Ywiw,Urban Ramen Japanese food Hollywood Los Angeles,7300 Sunset Blvd,Los Angeles,CA,90046,34.0978312,-118.3500803,False,2.0,4.4,405,"['establishment', 'food', 'point_of_interest', 'restaurant']",(323) 512-6077,+13235126077,http://www.urbanramen.com/,8523,1291,0.19019999999999998,0.7303999999999999,0.08,0.5082,4.2,DLyTZUzlM9ymEr3smImO6Q,Urban Ramen,2,3.5,798,0.36866666666666664,0.6313333333333333,0.0,0.7376666666666667,4.666666666666667,2,Meh.,Yay!
ChIJl6y2jHzHwoARudzhfALJVxk,Ten Ramen,3324 W 6th St Ste A,Los Angeles,CA,90020,34.0632276,-118.2952438,False,2.0,4.0,254,"['establishment', 'food', 'point_of_interest', 'restaurant']",(213) 908-5823,+12139085823,https://www.tenramen.com/,12086,1757,0.21259999999999998,0.7345999999999999,0.0528,0.49032,3.6,s6xL22TfNCO_SJYNARDsNg,Ten Ramen,2,4.0,537,0.2823333333333333,0.6356666666666667,0.082,0.7797999999999999,2.6666666666666665,2,Meh.,Yay!
ChIJqwffFXnHwoARRxEp0WQW2Tc,Ginza Ramen,709 S Vermont Ave,Los Angeles,CA,90005,34.0593182,-118.2918146,False,2.0,4.6,53,"['establishment', 'food', 'point_of_interest', 'restaurant']",(213) 263-2880,+12132632880,http://www.ginzaramen.us/,12280,1736,0.28475,0.69175,0.0235,0.594225,4.0,7nFlWfz_n_RP_IeVdeNsSA,Ginza Ramen,1,4.5,207,0.25333333333333335,0.7466666666666666,0.0,0.7178,5.0,3,Meh.,Yay!
ChIJiX4N4Z24woARZUch24a9Kcs,California Ramen Factory,4010 W 3rd St,Los Angeles,CA,90020,34.0688905,-118.3009519,False,2.0,4.3,190,"['establishment', 'food', 'point_of_interest', 'restaurant']",(213) 908-6838,+12139086838,https://caliramenfactory.com/,12052,1669,0.26325,0.68625,0.0505,0.53455,4.75,3VlKf0Z55eiPwl764_dVjA,California Ramen Factory,2,4.0,255,0.14933333333333335,0.7983333333333333,0.052333333333333336,0.29563333333333336,2.6666666666666665,1,Meh.,Meh.
ChIJPbzIe9O-woAR3yIbt0YZWmo,E.A.K. RAMEN - LA Melrose,7455 Melrose Ave,Los Angeles,CA,90046,34.0838457,-118.3525034,False,2.0,4.4,259,"['establishment', 'food', 'point_of_interest', 'restaurant']",(323) 866-1866,+13238661866,http://eakramen.com/,7026,1134,0.2374,0.7414,0.0212,0.77498,4.4,oqLsYZSS_CFXfmh0yZDNdQ,E.A.K. RAMEN - LA Melrose,2,4.0,328,0.051333333333333335,0.8646666666666668,0.084,-0.1910333333333333,3.6666666666666665,0,Yay!,Meh.
ChIJySPiDhS-woAR02hhc8DIYuo,JINYA Ramen Bar,11239 Ventura Blvd,Studio City,CA,91604,34.1420411,-118.3752886,False,2.0,4.5,739,"['establishment', 'food', 'meal_takeaway', 'point_of_interest', 'restaurant']",(818) 980-3977,+18189803977,http://jinya-ramenbar.com/,15953,1852,0.2415,0.7410000000000001,0.017249999999999998,0.904775,4.5,StjWc1-3mn9rYVJE9g0Owg,JINYA Ramen Bar,2,4.0,2348,0.2473333333333333,0.729,0.023666666666666666,0.7874333333333334,4.333333333333333,1,Yay!,Yay!
ChIJ9TQdLHW7woARYBaUqZ2X6N8,Tatsu Ramen,2123 Sawtelle Blvd,Los Angeles,CA,90025,34.0388915,-118.4424179,False,2.0,4.3,1227,"['bar', 'establishment', 'food', 'point_of_interest', 'restaurant']",(310) 684-2889,+13106842889,http://www.tatsuramen.com/,4388,610,0.271,0.7290000000000001,0.0,0.8960800000000001,4.8,udINVeecZdXtmCgbBIZi7A,Tatsu Ramen,2,4.0,3082,0.13633333333333333,0.8186666666666667,0.045000000000000005,0.3673,5.0,0,Yay!,Meh.
ChIJH1tN9Jq4woAR_na-TPGIkkA,Tengoku Ramen Bar,539 S Western Ave,Los Angeles,CA,90020,34.064184,-118.3094694,False,2.0,4.5,321,"['establishment', 'food', 'point_of_interest', 'restaurant']",(213) 388-8988,+12133888988,http://www.tengokuramen.com/,10926,1582,0.382,0.58,0.038400000000000004,0.8624799999999999,4.8,izNn-d8i3Md27D_e2alI-w,Tengoku Ramen Bar,2,4.5,490,0.318,0.665,0.017333333333333333,0.8841333333333333,3.6666666666666665,1,Yay!,Yay!
ChIJu2FPDbO-woARK0ThhrN3ceU,Kai Ramen West Hollywood,349 N La Cienega Blvd,Los Angeles,CA,90048,34.0775774,-118.3769191,False,2.0,4.5,54,"['establishment', 'food', 'point_of_interest', 'restaurant']",(310) 360-0322,+13103600322,https://kairamen.com/,4672,806,0.497,0.503,0.0,0.90258,4.8,eC7bhbablJ6jowPoYI2F0A,Kai Ramen,2,4.5,165,0.1386666666666667,0.7943333333333333,0.06699999999999999,0.4868666666666667,4.666666666666667,0,Yay!,Meh.
ChIJjcyN9sy_woARV-8JrEzubfA,JINYA Ramen Bar,4011 W Riverside Dr,Burbank,CA,91505,34.1521187,-118.3434782,False,2.0,4.4,439,"['establishment', 'food', 'point_of_interest', 'restaurant']",(818) 238-9875,+18182389875,http://jinya-ramenbar.com/,20044,2028,0.2406,0.7082,0.0512,0.55008,3.6,m3Q7m8tgANFJYEdqb6mI2Q,JINYA Ramen Bar,2,3.5,552,0.2853333333333333,0.6516666666666667,0.06333333333333334,0.6977333333333333,4.0,2,Meh.,Meh.
ChIJBYHJsKO-woARMSaHup8Qmzs,DAIKOKUYA,8873 Sunset Blvd,West Hollywood,CA,90069,34.0908757,-118.3852495,False,2.0,4.5,217,"['establishment', 'food', 'point_of_interest', 'restaurant']",(424) 335-0557,+14243350557,http://www.daikoku-ten.com/locations/sunset/,5012,784,0.33140000000000003,0.6686,0.0,0.8515799999999999,4.8,tzsgxANxtgYjm9A5hrw7cQ,Daikokuya Sunset,2,4.0,265,0.18466666666666667,0.7636666666666668,0.051666666666666666,0.26119999999999993,3.3333333333333335,0,Yay!,Meh.
ChIJI3aiXj66woARE-9OO8TiaFs,Ramen Yamadaya,11172 Washington Blvd,Culver City,CA,90232,34.0076434,-118.4124065,False,1.0,4.3,452,"['establishment', 'food', 'point_of_interest', 'restaurant']",(310) 815-8776,+13108158776,https://www.ramen-yamadaya.com/,8154,1024,0.3382,0.6618,0.0,0.8416,4.8,KD9izLKuNliixZx8U_X6OA,Ramen Yamadaya,2,3.5,1102,0.08133333333333333,0.8536666666666667,0.06533333333333334,0.04780000000000001,4.0,0,Yay!,Meh.
ChIJ96vcYiC_woARebIeHh5Z_I0,Shin Ramen,1655 N La Brea Ave,Los Angeles,CA,90028,34.1013584,-118.3454937,False,1.0,4.3,370,"['establishment', 'food', 'point_of_interest', 'restaurant']",(323) 874-4692,+13238744692,https://shinramenhollywood.com/,9093,1381,0.37140000000000006,0.6207999999999999,0.0076,0.901,4.8,VhKyyEcOll0rrOLAbZio3Q,Shin Ramen,2,4.0,747,0.19066666666666668,0.6603333333333333,0.14900000000000002,0.074,4.0,0,Yay!,Meh.
ChIJRYeOlsGXwoARCeow7QqvgN4,Kai Ramen Sherman Oaks,15030 Ventura Blvd #23,Sherman Oaks,CA,91403,34.1526662,-118.4612125,False,1.0,4.6,323,"['establishment', 'food', 'point_of_interest', 'restaurant']",(818) 789-3944,+18187893944,https://kairamen.com/,19207,1355,0.2914,0.6923999999999999,0.0162,0.79162,4.8,1yKPHQU_vqGJIzDuCXdGVg,Kai Ramen,2,4.5,720,0.17133333333333334,0.8053333333333333,0.023333333333333334,0.4164666666666666,5.0,1,Yay!,Meh.
ChIJA7Ua8lK5woARCIOgfmsxeuM,iki ramen,740 S Western Ave #116,Los Angeles,CA,90005,34.0583856,-118.3087581,False,2.0,4.7,51,"['establishment', 'food', 'point_of_interest', 'restaurant']",(424) 335-7749,+14243357749,http://www.ikiramen.com/,10550,1463,0.4166,0.5661999999999999,0.0172,0.87456,4.4,0kXAJeO1rL4zxa8sa7zL3g,Iki Ramen,2,4.5,185,0.209,0.7466666666666666,0.044333333333333336,0.6711,4.666666666666667,1,Yay!,Meh.
ChIJe2dJnMu7woAR_q9HDxTyXDo,KOTOYA RAMEN,10422 National Blvd,Los Angeles,CA,90034,34.0287527,-118.4112469,False,1.0,4.7,260,"['establishment', 'food', 'point_of_interest', 'restaurant']",,,http://kotoya-la.com/,4862,606,0.252,0.7220000000000001,0.026000000000000002,0.79694,3.8,fJPNeehpCzvDyIumvz_owg,Kotoya Ramen,2,4.0,495,0.13433333333333333,0.799,0.067,0.16466666666666666,3.3333333333333335,0,Yay!,Meh.
ChIJJcbj0dS6woARQK9WMQISXtY,JINYA Ramen Bar,2400 Main St,Santa Monica,CA,90405,34.0037766,-118.485676,False,2.0,4.5,774,"['establishment', 'food', 'point_of_interest', 'restaurant']",(310) 392-4466,+13103924466,http://www.jinya-ramenbar.com/,13477,1166,0.23120000000000002,0.7522,0.016599999999999997,0.92136,4.6,GfCZ32qx4I-b2DUIykwOrQ,JINYA Ramen Bar,2,4.0,829,0.18866666666666665,0.7216666666666667,0.08966666666666667,0.18216666666666667,3.3333333333333335,1,Yay!,Meh.
